food_id,food_name,carbs ,protein ,fat,serving_unit ,unit_cal,weight
1,Milk,10.3,4.3,6.5,1 C,117,100
2,Masala Milk,25.4,12.6,16.9,1 C,304,130
3,Tea,10,0.8,1.0,1 C,52,100
4,Coffee,18,2.8,4.3,1 C,122,120
5,Curds,1.4,1.6,2.1,1 K,31,52
6,Buttermilk,0.7,1.2,1.6,1 G,22,146
7,Lassi,25.5,6.2,7.9,1 G,198,220
8,Sugarcane Juice ,14.6,0.2,0.0,1 G,59,150
9,Lemonade,15,0.0,0.0,1 G,60,150
10,Mangola,18.9,0.1,0.0,1 G,76,200
11,Mango Squash,15.4,0.1,0.0,1 G,62,100
12,Plain Bread,8.3,1.2,0.1,1 SI,39,16
13,Milk Bread,11.4,1.7,0.2,1 SI,54,22
14,Bun,33.5,5.1,0.5,1 N,159,65
15,Khari,4.8,0.7,3.0,1 N,49,10
16,Pattice,18.3,2.9,6.9,1 N,147,48
17,Toast,2.4,0.4,0.1,1 N,12,5
18,Bun ,28.9,3.3,2.8,1 N,154,35
19,Cream Roll,28.6,3.2,23.2,1 S,336,55
20,Glucose Biscuit,5,0.5,1.1,1 N,32,7
21,Cream Biscuit,5.2,1.4,3.4,1 N,57,12
22,Coconut Biscuit,5.8,0.5,1.2,1 N,36,8
23,Nankatai,5.7,0.6,2.2,1 N,45,9
24,Marie Biscuit,4.3,0.4,0.9,1 N,27,6
25,Salted Biscuit,2.9,0.3,1.6,1 N,27,5
26,Sweet-Salt Biscuit,4,0.4,1.4,1 N,30,6
27,Rot ,40,2.9,8.5,1 N,248,55
28,Shrujbery Biscuits,9,0.9,4.5,1 N,80,15
29,Rawa Laddoo,17.6,1.4,9.0,1 N,157,45
30,Wheat Flour Laddoo,24.2,2.6,3.0,1 N,134,35
31,Boondi Laddoo,23.8,3.2,15.9,1 N,251,50
32,Besan Laddoo,26.8,2.5,14.0,1 N,243,45
33,Rawa + Besan Laddoo,26.5,3.1,11.3,1 N,220,45
34,Peanut Laddoo,25.3,8.3,14.3,1 N,263,35
35,Til Laddoo,8.4,2.4,3.1,1 N,71,15
36,Rajgira Laddoo,14.1,2.6,0.8,1 N,74,20
37,Dink Laddoo (edible gum),20,1.6,13.4,1 N,207,35
38,Alive Laddoo (garden cress),19.5,3.2,8.8,1 N,170,50
39,Methi Laddu,24.2,3.0,8.6,1 N,186,40
40,Rawa Wadi,5,0.4,2.6,1 N,45,13
41,Coconut Wadi,10.6,0.2,2.1,1 N,62,15
42,Gulpapdi,11.4,1.1,0.9,1 N,58,15
43,Mysorepak,11.1,2.9,11.0,1 N,155,25
44,Rajgira Wadi,7.1,1.3,0.4,1 N,37,10
45,Shrikhand Wadi,4.3,0.3,0.3,1 N,21,10
46,Kaju Burfi,12.5,1.8,2.0,1 N,75,15
47,Amba Burfi,30,0.9,0.6,1 N,129,30
48,Khoa Burfi,27.5,3.7,7.8,1 N,195,45
49,Kharvas,25,1.1,2.3,1 N,125,50
50,Khandvi,16.3,0.8,4.3,1 N,107,30
51,Churmure,12.2,2.6,7.3,1 PI,125,25
